City,Slum_HH,PMAY.PMAY_HH,Surplus,Latitude,Longitude
Dharampuri,1104,2727,1623,22.156178,75.3499629
Sambalpur,5006,6604,1598,21.4668716,83.9811665
Bikapur,1086,2681,1595,26.596963,82.13328179999999
Bairgania,1020,2605,1585,26.7360933,85.2774207
Bhalki,1637,3221,1584,18.0503666,77.2183652
Periyanaicken-palayam,576,2160,1584,11.1464808,76.94449569999999
Harrai,281,1854,1573,22.6241545,79.2212697
Garhmukhteshwar,383,1946,1563,28.78922099999999,78.0823084
Supaul,1035,2588,1553,26.1233718,86.6045134
Chandauli,729,2278,1549,25.2604696,83.264538
Jamner,230,1777,1547,20.8095714,75.7787358
Nowgong,189,1733,1544,26.348009,92.6838111
Bhachau,54,1597,1543,23.2930388,70.339045
Veraval,216,1756,1540,20.9158979,70.3628516
Kasrawad,283,1816,1533,22.120897,75.611128
Lakhisarai,254,1784,1530,25.1571454,86.0951592
Visnagar,103,1627,1524,23.7023775,72.5425606
Thirumangalam,384,1905,1521,9.8216147,77.9891394
Chitbara,330,1848,1518,25.7348119,84.00087719999999
Bapatla,2747,4261,1514,15.9039445,80.46713749999999
Manglaur,1274,2788,1514,29.7885484,77.87971379999999
Tharad,98,1607,1509,24.396687,71.6271514
Gotegaon,1086,2594,1508,23.048746,79.4872619
Pachora,1277,2775,1498,20.6805927,75.347048
Kudligi,363,1858,1495,14.9053562,76.3897733
Mirik,1133,2624,1491,26.8852968,88.1827931
Malajkhand,2563,4037,1474,22.0494116,80.7160777
Nilagiri,463,1937,1474,21.4616966,86.7608923
Chharra,290,1757,1467,27.925143,78.401997
Markapur,12343,13804,1461,15.737655,79.2699779
Tendukheda,225,1679,1454,23.3961982,79.5385593
Vinukonda,6948,8396,1448,16.0498456,79.7405355
Borsad,487,1929,1442,22.4193498,72.898194
Daryapur,247,1688,1441,20.9215307,77.3270282
Sunabeda,2730,4165,1435,18.7361387,82.8348087
Nuzvid,11360,12786,1426,16.7875689,80.8490357
Heggadadevankote,436,1860,1424,12.0908091,76.3321589
Kumarghat,1259,2680,1421,24.1626766,92.0378331
Kandi,4863,6281,1418,23.9468005,88.0497145
Kairana,1731,3147,1416,29.3939892,77.20027449999999
Badoda,393,1809,1416,22.3000395,73.2064994
Ratanpur,1643,3051,1408,22.2859094,82.16524100000001
Vikramasingapuram,489,1889,1400,8.717801200000002,77.3841197
Pandariya,1105,2495,1390,22.2198321,81.4100379
Vapi,10005,11386,1381,20.3893155,72.9106202
Hardwar,3607,4982,1375,29.9456906,78.16424780000001
Jatani,492,1865,1373,20.1622811,85.7012527
Arakonam,2315,3686,1371,13.0840593,79.6704128
